actor,region,dmu,land_area,land_lease_value_idr,labor_cost_idr,seed_purchase_value_idr,fertilizer_purchase_value_idr,pesticide_purchase_value_idr,equipment_rent_value_idr,production_value_idr,number_of_machines,value_of_milled_grains_idr,amount_of_milled_rice,supporting_equipment_cost_idr,value_of_milled_rice_idr,total_revenue_of_milling_machine_idr,total_rice_purchase_kg,total_rice_purchase_value_idr,building_rent_cost_idr,value_of_rice_sold_idr,total_precipitation,precipitation_quality,value_of_rice_purchase_idr,total_cost,output_value,margin,rc_ratio,margin_ratio,quantity_proxy,cost_per_quantity
Farmer,Garut,1,2800.0,4900000.0,1400000.0,644000.0,3640000.0,364000.0,470000.0,16200000.0,,,,,,,,,,,,,,11418000.0,16200000.0,4782000.0,1.418812401471361,0.418812401471361,2800.0,4077.8571428571427
Farmer,Garut,2,1400.0,4900000.0,500000.0,322000.0,1820000.0,182000.0,540000.0,8100000.0,,,,,,,,,,,,,,8264000.0,8100000.0,-164000.0,0.9801548886737658,-0.01984511132623427,1400.0,5902.857142857143
Farmer,Garut,3,2000.0,2000000.0,700000.0,200000.0,2600000.0,260000.0,690000.0,14850000.0,,,,,,,,,,,,,,6450000.0,14850000.0,8400000.0,2.302325581395349,1.302325581395349,2000.0,3225.0
Farmer,Garut,4,1000.0,1800000.0,800000.0,230000.0,1300000.0,100000.0,340000.0,13050000.0,,,,,,,,,,,,,,4570000.0,13050000.0,8480000.0,2.8555798687089715,1.8555798687089715,1000.0,4570.0
Farmer,Garut,5,800.0,1520000.0,580000.0,184000.0,1040000.0,104000.0,350000.0,10200000.0,,,,,,,,,,,,,,3778000.0,10200000.0,6422000.0,2.6998411858125992,1.6998411858125992,800.0,4722.5
Farmer,Garut,6,800.0,1400000.0,550000.0,184000.0,1040000.0,104000.0,350000.0,3600000.0,,,,,,,,,,,,,,3628000.0,3600000.0,-28000.0,0.9922822491730982,-0.007717750826901874,800.0,4535.0
Farmer,Garut,7,1000.0,400000.0,500000.0,230000.0,1300000.0,180000.0,490000.0,8100000.0,,,,,,,,,,,,,,3100000.0,8100000.0,5000000.0,2.6129032258064515,1.6129032258064515,1000.0,3100.0
Farmer,Garut,8,1400.0,700000.0,500000.0,322000.0,1820000.0,182000.0,470000.0,7850000.0,,,,,,,,,,,,,,3994000.0,7850000.0,3856000.0,1.9654481722583876,0.9654481722583875,1400.0,2852.8571428571427
Farmer,Garut,9,5000.0,3500000.0,1200000.0,1150000.0,6500000.0,650000.0,690000.0,29700000.0,,,,,,,,,,,,,,13690000.0,29700000.0,16010000.0,2.1694667640613585,1.1694667640613587,5000.0,2738.0
Farmer,Garut,10,2800.0,5040000.0,1150000.0,644000.0,3640000.0,364000.0,750000.0,36450000.0,,,,,,,,,,,,,,11588000.0,36450000.0,24862000.0,3.145495340006904,2.145495340006904,2800.0,4138.571428571428
