actor,region,n_dmu,median_cost,median_output,median_margin,median_rc,vulnerable_share
Farmer,Garut,98,7641100.0,13570000.0,6111000.0,2.3967020507106134,0.20408163265306123
Farmer,Indramayu,62,26855000.0,47650000.0,17616000.0,1.7726244701492437,0.08064516129032258
Farmer,Karawang,53,40890000.0,81600000.0,44410000.0,2.073170731707317,0.09433962264150944
Farmer,Subang,77,13035000.0,25650000.0,13120000.0,1.9662363455809335,0.07792207792207792
Farmer,Tasikmalaya,110,6713450.0,14145000.0,7013500.0,2.3788546255506606,0.01818181818181818
Middlemen,Garut,24,40650000.0,26840000.0,-6500000.0,0.7364995830630965,0.9166666666666666
Middlemen,Indramayu,16,99892414.0,88000000.0,-6617415.258776158,0.9196469087821688,0.5625
Middlemen,Karawang,14,68075000.0,66500000.0,-1525000.0,0.9835763528765786,0.5
Middlemen,Subang,21,115400000.0,130240000.0,14840000.0,1.0841291496134606,0.42857142857142855
Middlemen,Tasikmalaya,29,41257069.35965033,33440000.0,-7685346.798251651,0.7715538236726741,0.7931034482758621
Retail,Garut,23,5750000.0,3500000.0,-2600000.0,0.5737704918032787,0.9130434782608695
Retail,Indramayu,16,5906250.0,3000000.0,-3051000.0,0.47293670319838965,1.0
Retail,Karawang,16,5972500.0,3000000.0,-3070000.0,0.49424232122901046,1.0
Retail,Subang,19,5000000.0,3000000.0,-2495000.0,0.5769230769230769,0.9473684210526315
Retail,Tasikmalaya,28,6070000.0,3000000.0,-3053750.0,0.4955836128928828,1.0
Rice Miller,Garut,24,49053832.82387624,43071595.8354668,10700692.782526111,1.2001199052649405,0.4166666666666667
Rice Miller,Indramayu,17,355525108.2621083,376908000.0,21382891.737891674,1.119116859735619,0.11764705882352941
Rice Miller,Karawang,14,101737594.96676165,92100000.0,-5688835.470085483,0.9396008230666616,0.7142857142857143
Rice Miller,Subang,21,214780151.94681865,298500000.0,74124362.54852271,1.3287835840807793,0.19047619047619047
Rice Miller,Tasikmalaya,29,37400000.0,44940000.0,2160000.0,1.076032065116006,0.27586206896551724
Wholesaler,Garut,25,97000000.0,88000000.0,-7000000.0,0.9263157894736842,0.72
Wholesaler,Indramayu,16,164500000.0,828800000.0,275500000.0,1.208977109277308,0.0
Wholesaler,Karawang,14,199900000.0,200000000.0,-3500000.0,0.9822911796596008,0.5714285714285714
Wholesaler,Subang,21,124500000.0,180000000.0,67800000.0,1.6055718475073313,0.14285714285714285
Wholesaler,Tasikmalaya,28,154300000.0,266250000.0,2605000.0,0.9982767548537825,0.5
