column,new_na_after_numeric_conversion
dmu,0
land_area,0
land_lease_value_idr,0
labor_cost_idr,0
seed_purchase_value_idr,0
fertilizer_purchase_value_idr,0
pesticide_purchase_value_idr,0
equipment_rent_value_idr,0
production_value_idr,0
number_of_machines,0
value_of_milled_grains_idr,0
amount_of_milled_rice,0
supporting_equipment_cost_idr,0
value_of_milled_rice_idr,0
total_revenue_of_milling_machine_idr,0
total_rice_purchase_kg,0
total_rice_purchase_value_idr,0
building_rent_cost_idr,0
value_of_rice_sold_idr,0
total_precipitation,0
precipitation_quality,0
value_of_rice_purchase_idr,0
total_cost,0
output_value,0
margin,0
rc_ratio,0
margin_ratio,0
quantity_proxy,0
cost_per_quantity,0
