actor,region,n,median_readiness_score,recommended_share,not_recommended_share,median_rc,median_dea,median_crisis
Farmer,Garut,98,0.5417358500081101,0.30612244897959184,0.2857142857142857,2.3967020507106134,0.21500906287190746,1.0
Farmer,Indramayu,62,0.5325393153816123,0.27419354838709675,0.14516129032258066,1.7726244701492437,0.20914852055955363,1.0
Farmer,Karawang,53,0.6153721294227119,0.1320754716981132,0.11320754716981132,2.073170731707317,0.20655909876317005,1.0
Farmer,Subang,77,0.5287921008110201,0.16883116883116883,0.14285714285714285,1.9662363455809335,0.2016471580227488,1.0
Farmer,Tasikmalaya,110,0.5877040012649287,0.4090909090909091,0.12727272727272726,2.3788546255506606,0.19763604540620186,1.0
Middlemen,Garut,24,0.2583536993461315,0.0,0.75,0.7364995830630965,0.23897821463476548,0.0
Middlemen,Indramayu,16,0.4974792380804422,0.4375,0.4375,0.9196469087821688,0.3573223157644001,0.0
Middlemen,Karawang,14,0.4680843491026545,0.14285714285714285,0.5,0.9835763528765786,0.3486971704294706,0.0
Middlemen,Subang,21,0.7004696072420409,0.5238095238095238,0.2857142857142857,1.0841291496134606,0.5989923381542699,0.0
Middlemen,Tasikmalaya,29,0.27430751280036,0.034482758620689655,0.7241379310344828,0.7715538236726741,0.25133317319240933,0.0
Retail,Garut,23,0.523407704500805,0.08695652173913043,0.08695652173913043,0.5737704918032787,0.683546025816106,0.0
Retail,Indramayu,16,0.34250961026291266,0.0,0.6875,0.47293670319838965,0.5325007618447737,0.0
Retail,Karawang,16,0.40196328644944923,0.0,0.5,0.49424232122901046,0.5828718485032899,0.0
Retail,Subang,19,0.5133697605132681,0.10526315789473684,0.2631578947368421,0.5769230769230769,0.6653946884553206,0.0
Retail,Tasikmalaya,28,0.39430090535283346,0.0,0.5357142857142857,0.4955836128928828,0.5484094909396608,0.0
Rice Miller,Garut,24,0.5651028957497137,0.25,0.4583333333333333,1.2001199052649405,0.2412453438282025,0.375
Rice Miller,Indramayu,17,0.5024798647977863,0.23529411764705882,0.23529411764705882,1.119116859735619,0.21585197681856547,0.25
Rice Miller,Karawang,14,0.2812511727344502,0.0,0.8571428571428571,0.9396008230666616,0.15898143442697876,0.0
Rice Miller,Subang,21,0.7622677073554862,0.6190476190476191,0.19047619047619047,1.3287835840807793,0.5055748975341606,0.75
Rice Miller,Tasikmalaya,29,0.3669792577325846,0.06896551724137931,0.5862068965517241,1.076032065116006,0.16749929935456387,0.0
Wholesaler,Garut,25,0.21940339676813864,0.0,0.8,0.9263157894736842,0.021968238551946215,0.0
Wholesaler,Indramayu,16,0.5257541580926359,0.1875,0.0625,1.208977109277308,0.07388717873203365,0.375
Wholesaler,Karawang,14,0.2655089492982625,0.07142857142857142,0.7857142857142857,0.9822911796596008,0.04232804232804233,0.0
Wholesaler,Subang,21,0.6503097040773754,0.047619047619047616,0.14285714285714285,1.6055718475073313,0.051436564408649806,1.0
Wholesaler,Tasikmalaya,28,0.27248612295214447,0.21428571428571427,0.6071428571428571,0.9982767548537825,0.04099493965040718,0.0
