actor,region,dmu,dea_score_filled,rc_viability_score,margin_score,asset_utilization_score,cost_burden_score,crisis_resilience_score,cluster_support_score,readiness_score,readiness_label,vote_ready,vote_high_risk,label_reason
Farmer,Garut,1,0.15429412879020815,1.0,0.22,0.14625,0.21750000000000003,0.75,0.0,0.4064132386370624,Conditional,2,2,low DEA efficiency; weak margin health; weak asset utilization
Farmer,Garut,2,0.12774429512062377,0.7841239109390126,0.0825,0.14625,0.07999999999999996,0.0,0.0,0.22214807072398965,Not Recommended,0,4,low DEA efficiency; weak margin health; high crisis sensitivity
Farmer,Garut,3,0.2224685283385257,1.0,0.57,0.34125,0.5675,1.0,0.0,0.5363655585015576,Conditional,2,1,low DEA efficiency; weak asset utilization; weak cluster support
Farmer,Garut,4,0.2999714742388728,1.0,0.7475,0.6825,0.745,1.0,1.0,0.7203664422716619,Recommended,3,1,low DEA efficiency
Farmer,Garut,5,0.2772471954226838,1.0,0.7025,0.5825,0.7,1.0,1.0,0.6967991586268052,Conditional,3,1,low DEA efficiency
Farmer,Garut,6,0.09990792391160412,0.7938257993384785,0.09,0.01,0.08750000000000002,0.0,0.0,0.20323753704117695,Not Recommended,0,4,low DEA efficiency; weak margin health; high crisis sensitivity
Farmer,Garut,7,0.19492903499569503,1.0,0.6575,0.40375,0.655,1.0,0.0,0.5474787104987086,Conditional,3,1,low DEA efficiency; weak cluster support
Farmer,Garut,8,0.16028161138449926,1.0,0.4275,0.1225,0.42500000000000004,1.0,0.0,0.4744594834153497,Conditional,2,1,low DEA efficiency; weak asset utilization; weak cluster support
Farmer,Garut,9,0.19581319430307575,1.0,0.53,0.16625,0.5275000000000001,1.0,0.0,0.5048689582909227,Conditional,2,1,low DEA efficiency; weak asset utilization; weak cluster support
Farmer,Garut,10,0.3387948342449955,1.0,0.8325,0.655,0.83,1.0,1.0,0.7420134502734986,Recommended,3,1,low DEA efficiency
Farmer,Garut,11,0.2564411222558522,1.0,0.6325,0.6825,0.63,1.0,1.0,0.6900573366767556,Conditional,3,1,low DEA efficiency
Farmer,Garut,12,0.2851058537551574,1.0,0.9025,0.49,0.9,1.0,1.0,0.7199067561265473,Recommended,3,1,low DEA efficiency
Farmer,Garut,13,0.18429572120097898,1.0,0.5025,0.2525,0.5,1.0,0.0,0.5059137163602937,Conditional,2,1,low DEA efficiency; weak asset utilization; weak cluster support
Farmer,Garut,14,0.11654634518131926,1.0,0.2275,0.47125,0.22499999999999998,0.875,0.0,0.4474639035543958,Conditional,2,2,low DEA efficiency; weak margin health; weak cluster support
Farmer,Garut,15,0.27485902387915806,1.0,0.67875,0.7275,0.67625,1.0,1.0,0.7070202071637474,Recommended,3,1,low DEA efficiency
Farmer,Garut,16,0.12798712439808965,0.7915567282321899,0.085,0.13125,0.08250000000000002,0.0,0.0,0.22258248296586491,Not Recommended,0,4,low DEA efficiency; weak margin health; high crisis sensitivity
Farmer,Garut,17,0.2616696712592869,1.0,0.6925,0.78,0.69,1.0,1.0,0.7103759013777861,Recommended,3,1,low DEA efficiency
Farmer,Garut,18,0.22506122590786057,1.0,0.5925,0.59625,0.5900000000000001,1.0,1.0,0.6660183677723581,Conditional,2,1,low DEA efficiency
Farmer,Garut,19,0.10874649818324392,0.6590187942396876,0.035,0.05375,0.03249999999999997,0.0,0.0,0.1750527083029107,Not Recommended,0,4,low DEA efficiency; weak margin health; high crisis sensitivity
Farmer,Garut,20,0.14189525050964732,1.0,0.255,0.05375,0.25249999999999995,0.875,0.0,0.4174435751528942,Conditional,2,2,low DEA efficiency; weak margin health; weak asset utilization
Farmer,Garut,21,0.10862850331660025,0.6545454545454545,0.03,0.11,0.02749999999999997,0.0,0.0,0.178997641904071,Not Recommended,0,4,low DEA efficiency; weak margin health; high crisis sensitivity
Farmer,Garut,22,0.10874649818324392,0.6590187942396876,0.035,0.05375,0.03249999999999997,0.0,0.0,0.1750527083029107,Not Recommended,0,4,low DEA efficiency; weak margin health; high crisis sensitivity
