mode,model,n_features,cv_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,fit_time_mean,selection_score
rule_replication,Extra Trees,74,5,0.9590830334532854,0.008980047431594,0.9573443223443224,0.007427727878354006,0.9558782716843082,0.009463233920133157,0.9590827622267633,0.00860731969712267,0.08970108032226562,0.956464691948314
rule_replication,LightGBM,74,5,0.9525256564041049,0.006206128057131188,0.9442714196372733,0.0020682306067817693,0.9501438750941057,0.00573017245541124,0.9524922353900198,0.006047402610658377,0.20480809211730958,0.9477948929113728
rule_replication,Random Forest,74,5,0.9525256564041051,0.010915104844714271,0.9457142857142857,0.011332157654176734,0.9484511909312268,0.007500740742341357,0.9524172365532019,0.0105454584312223,0.11202073097229004,0.9473564288444504
rule_replication,Decision Tree,74,5,0.9427295748367321,0.018645803532155187,0.9444871794871796,0.01758102482273735,0.9404494896853567,0.018733563769017823,0.9429155641078356,0.018562101750265403,0.038070058822631835,0.9420645656060858
rule_replication,CatBoost,74,5,0.9443289350926296,0.014172348474119804,0.9310296613955151,0.021991623724913933,0.9395416838461706,0.01480767428855289,0.9440459287226638,0.014366707536032771,0.799444055557251,0.9361368748659085
rule_replication,XGBoost,74,5,0.9361455417832867,0.01596889334785934,0.9263410167068704,0.017387162087062303,0.9332408214271973,0.014367705446266142,0.9360475023212942,0.015847677871193448,0.4770906925201416,0.9304808995390665
operational_prediction,LightGBM,52,5,0.9345328535252566,0.013717395796813695,0.9302930402930402,0.019413090036883702,0.9303084380768887,0.013027247197991762,0.9345455140356058,0.013795301333869725,0.1277759075164795,0.9303022789633493
rule_replication,Gradient Boosting,74,5,0.9296014927362389,0.011229630770803432,0.9193080496739034,0.01666624938299256,0.9252961913507038,0.010135451428666334,0.9295395015829288,0.011051356321158697,0.4866971969604492,0.9229009346799837
operational_prediction,Random Forest,52,5,0.9263627882180462,0.011500374619548453,0.9229120879120881,0.023141038324552908,0.9226282166648151,0.01649474630856849,0.9260578265913351,0.011995143409710043,0.09309201240539551,0.9227417651637244
operational_prediction,Extra Trees,52,5,0.9230974276955883,0.021661755485497383,0.9236996336996338,0.01729566223383676,0.9220405782957449,0.023307846587006385,0.9233723243248443,0.021456387024230302,0.07998189926147461,0.9227042004573005
operational_prediction,Decision Tree,52,5,0.8968679194988672,0.01850810857174342,0.9013736263736263,0.02474636192082575,0.8952681447524388,0.018487519970731555,0.8969478651993172,0.01844535754909252,0.023504257202148438,0.8977103374009138
rule_replication,Ridge Classifier,74,5,0.8739570838331334,0.026819457539572687,0.8816867685160368,0.026199398136498384,0.8730747527219027,0.025551548507965077,0.8737684447621114,0.02714579036944069,0.03178901672363281,0.8765195590395564
operational_prediction,XGBoost,52,5,0.8821538051446088,0.019842642559478856,0.8682457786116323,0.016906449655326908,0.8777228411579733,0.015295514552792667,0.8814301900344731,0.019622177362463487,0.12001867294311523,0.8739320161394369
operational_prediction,Gradient Boosting,52,5,0.8870051979208317,0.028748584015507783,0.8639966943625481,0.03301911020981652,0.87976885627524,0.02900630607296961,0.8856360583088347,0.029006507374203655,0.40032172203063965,0.8734599915101633
operational_prediction,CatBoost,52,5,0.8690257230441156,0.02503506887863548,0.8458952023586171,0.02838560182536142,0.86266534115258,0.02632001003877406,0.867722273534006,0.025492118014988116,0.6004441261291504,0.8559572856349948
operational_prediction,Ridge Classifier,52,5,0.8183260029321605,0.016757088833152904,0.8386790851424998,0.013073369715532673,0.8219927729394481,0.017432651926063577,0.816710350984023,0.017877718180733065,0.016965866088867188,0.8286672978206687
rule_replication,Logistic Regression,74,5,0.6417433026789284,0.07483185991423881,0.663696953453051,0.10760559193059586,0.6382382633429204,0.09046429411134713,0.6342229582490142,0.0735426029523296,0.052802324295043945,0.6484217393869727
operational_prediction,Logistic Regression,52,5,0.6384646141543383,0.07540167345918568,0.6548427588671492,0.11531330574594123,0.6298171393620369,0.09786867173435518,0.6288815363137151,0.07659886235703486,0.029481840133666993,0.6398273871640818
rule_replication,AdaBoost,74,5,0.7004798080767694,0.019264823743589093,0.5848896631823461,0.016572540726235,0.5344068021930666,0.015921226024389966,0.6236814944847019,0.01805828130223168,0.08876066207885742,0.5545999465887784
operational_prediction,AdaBoost,52,5,0.6480874316939891,0.017740637246719024,0.5537340301974448,0.014113679971676394,0.49124286826599234,0.013789746469373254,0.5721770568335589,0.016527837353216508,0.09389801025390625,0.5162393330385733
