model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,fit_time_mean,selection_score
Extra Trees,0.9478903627163575,0.007911880190818453,0.9429833170985851,0.01596840813820595,0.9446482915299951,0.014356822414866879,0.9475135928409751,0.008123502967595505,0.13489206631978354,0.9439823017574311
Logistic Regression,0.9402374248976867,0.02425276280677395,0.941651717940899,0.023753832319029104,0.9341683258177135,0.027904924134350265,0.9400985080305277,0.02438146253949857,0.023471832275390625,0.9371616826669876
Random Forest,0.9351822289302335,0.008339288723701745,0.9254368567058152,0.010675001257728169,0.9310879230707728,0.00993298092561571,0.9349984385538459,0.00834173903962084,0.13407723108927408,0.9288274965247898
Linear SVM,0.9313509225127952,0.0218799983460972,0.9266148841983016,0.027616384004101196,0.9233746554885257,0.026104623057443353,0.9312900579771641,0.02198145161393498,0.015308539072672525,0.924670746972436
Gradient Boosting,0.9250186244061958,0.007949625886607572,0.9187019156179925,0.006964076146970612,0.9241289077923399,0.010282135937663422,0.9249260237839486,0.007860915653353116,0.3690029780069987,0.9219581109226009
LightGBM,0.9300980079141633,0.009617781247521506,0.9119060170627411,0.011071342352945525,0.922952952316228,0.011095701028094831,0.9297695246109581,0.009671915590316946,0.07686495780944824,0.9185341782148333
Decision Tree,0.8958000754651264,0.004896222595318362,0.8983964842407715,0.009728887946033068,0.8936871550562855,0.010654140522102661,0.8958319169047826,0.005224580907551006,0.018790721893310547,0.8955708867300799
KNN,0.889443589818013,0.00558247596675879,0.8664712735491299,0.003025461500585994,0.8778900956857784,0.006347264298771731,0.8888331808785294,0.005326208163067722,0.011090517044067383,0.8733225668311189
CatBoost,0.8843496937857371,0.014200997553359839,0.846530743345708,0.01775180406290641,0.8666400301586908,0.017346072891840675,0.8824240797721367,0.014817141350665496,0.31715138753255206,0.8585963154334977
XGBoost,0.8805377374007101,0.023483202642806036,0.843498466855393,0.025833553432172966,0.8621928303610137,0.024718628463948348,0.8788743290554549,0.0240852657542095,0.07431149482727051,0.8547150849587654
Ridge Classifier,0.7839859131764045,0.015734081182847807,0.8088284005624754,0.028812100750862872,0.7728828150183182,0.018926821500020993,0.7781008409392012,0.014743042967391047,0.017538785934448242,0.7872610492359811
AdaBoost,0.6912218577966117,0.006706297345229488,0.5455172444302878,0.005901804922894438,0.4966455484831543,0.004597905700144735,0.6282169195228269,0.0052067274098287816,0.08786916732788086,0.5161942268620077
Dummy Most Frequent,0.4383749842780986,0.0007867460002172284,0.3333333333333333,0.0,0.20318052885102697,0.0002536104673532746,0.2672083820031166,0.0008126605983746459,0.018665154774983723,0.2552416506439495
