feature,importance_mean,importance_std
margin,0.1840980844287131,0.005023280852059328
rc_ratio,0.0766374582685454,0.008146459581616753
cost_to_output_ratio,0.06456310137987938,0.004332047412381566
output_per_quantity,0.03407351765349165,0.01034776556686993
actor,0.018114719620623537,0.0003440740677133828
cost_per_quantity,0.016444210858179226,0.009872588243125365
quantity_proxy,0.01214371391409197,0.0
fertilizer_cost_share,0.009690293901666905,0.002591173012759677
seed_cost_share,0.008252597691873772,0.002760998911476537
asset_utilization,0.006056511932886329,0.004957697941324992
total_cost,0.0060258218845670175,0.0
milled_grain_purchase_share,0.0060258218845670175,0.0
labor_cost_share,0.004047904638030657,0.005724601638295908
total_rice_purchase_value_idr,0.002821581277789198,0.0019951592551937453
pesticide_cost_share,0.0020086072948556724,0.0028405996778664263
total_precipitation,0.0014121443317688016,0.001997073666015731
asset_proxy,0.0014121443317688016,0.001997073666015731
value_of_rice_purchase_idr,0.0,0.0
equipment_rent_share,0.0,0.0
land_lease_share,0.0,0.0
log_output_value,0.0,0.0
rice_purchase_share,0.0,0.0
log_total_cost,0.0,0.0
log_quantity_proxy,0.0,0.0
log_asset_proxy,0.0,0.0
is_margin_negative,0.0,0.0
value_of_rice_sold_idr,0.0,0.0
total_revenue_of_milling_machine_idr,0.0,0.0
total_rice_purchase_kg,0.0,0.0
production_value_idr,0.0,0.0
dmu,0.0,0.0
output_value,0.0,0.0
land_area,0.0,0.0
land_lease_value_idr,0.0,0.0
labor_cost_idr,0.0,0.0
seed_purchase_value_idr,0.0,0.0
fertilizer_purchase_value_idr,0.0,0.0
pesticide_purchase_value_idr,0.0,0.0
equipment_rent_value_idr,0.0,0.0
number_of_machines,0.0,0.0
value_of_milled_grains_idr,0.0,0.0
amount_of_milled_rice,0.0,0.0
value_of_milled_rice_idr,0.0,0.0
is_rc_below_one,0.0,0.0
region,-0.0018588272128227112,0.002628778654482058
building_rent_share,-0.0019793011619231304,0.002799154547212517
supporting_equipment_cost_idr,-0.00254078098688267,0.0024986216254119136
log_abs_margin,-0.0037176544256454225,0.002628778654482058
precipitation_quality,-0.0038381283747458417,0.002717974552701396
supporting_equipment_share,-0.0050544230388059885,0.0024555081057881845
margin_ratio,-0.005699670516228328,0.004704859580452489
building_rent_cost_idr,-0.0070296350998025154,0.0019906149167340952
